titulo,descricao,preco,endereco,quartos,banheiros,area,tipo
Casa Sobrado 3 Quartos Centro,Soberba casa com ótima localização. Próxima ao comércio. Oportunidade!,550000.00,Rua Getúlio Vargas 123 - Centro,3,3,200,"Sobrado"
Apartamento 2 Quartos Bom Retiro,Lindo apartamento com vista. Edifício com piscina e academia,380000.00,Av. Bom Retiro 456 - Bom Retiro,2,1,85,"Apartamento"
Terreno 800m² em Pirabeiraba,Terreno plano e bem localizado. Infraestrutura de saneamento,120000.00,Rua das Minas 789 - Pirabeiraba,0,0,800,"Terreno"
Casa Térrea 4 Quartos Santa Catarina,Casa nova de alvenaria. Acabamento de qualidade. Garagem para 2 carros,620000.00,Av. Santa Maria 321 - Santa Catarina,4,3,220,"Casa"
Apartamento Cobertura Jarivatuba,Cobertura com 2 dormitórios. Edifício seguro com portaria 24h,450000.00,Rua Jarivatuba 654 - Jarivatuba,2,2,120,"Cobertura"
Lote Comercial Centro Histórico,Excelente lote comercial no centro. Ideal para construção ou reforma,350000.00,Rua 15 de Novembro 159 - Centro,0,0,500,"Lote"
Casa Geminada Pirabeiraba,Casa geminada nova. Acabamento completo e bem construída,480000.00,Estrada Pirabeiraba 321 - Pirabeiraba,3,2,180,"Casa"
Chácara 5000m² Região Rural,Chácara espaçosa com casa. Piscina e área verde. Paz e tranquilidade,350000.00,Rod. SC-108 km 15 - Rural,3,2,5000,"Chácara"
Apartamento Studio Centro,Studio todo equipado. Prédio antigo mas bem preservado,280000.00,Rua do Comércio 789 - Centro,0,1,45,"Studio"
Terreno com Casa Antiga Bom Retiro,Terreno 1500m² com casa antiga. Excelente para reforma e construção,200000.00,Av. Bom Retiro 888 - Bom Retiro,2,1,1500,"Terreno com Construção"
